Project_ID,Project_Type,Team_Size,Project_Budget_USD,Estimated_Timeline_Months,Complexity_Score,Stakeholder_Count,Methodology_Used,Team_Experience_Level,Past_Similar_Projects,External_Dependencies_Count,Change_Request_Frequency,Project_Phase,Requirement_Stability,Team_Turnover_Rate,Vendor_Reliability_Score,Historical_Risk_Incidents,Communication_Frequency,Regulatory_Compliance_Level,Technology_Familiarity,Geographical_Distribution,Stakeholder_Engagement_Level,Schedule_Pressure,Budget_Utilization_Rate,Executive_Sponsorship,Funding_Source,Market_Volatility,Integration_Complexity,Resource_Availability,Priority_Level,Organizational_Change_Frequency,Cross_Functional_Dependencies,Previous_Delivery_Success_Rate,Technical_Debt_Level,Project_Manager_Experience,Org_Process_Maturity,Data_Security_Requirements,Key_Stakeholder_Availability,Tech_Environment_Stability,Contract_Type,Resource_Contention_Level,Industry_Volatility,Client_Experience_Level,Change_Control_Maturity,Risk_Management_Maturity,Team_Colocation,Documentation_Quality,Project_Start_Month,Current_Phase_Duration_Months,Seasonal_Risk_Factor,Risk_Level
PROJ_2184,R&D,17,2611671.66,24,2.83,15,Hybrid,Mixed,4,2,0.28,Closure,Moderate,0.04,0.60,3,5.40,Critical,New,4,Excellent,0.30,0.76,Moderate,Mixed,0.19,1.77,0.92,Medium,0.12,1,0.56,0.06,Mid-level PM,Ad-hoc,Medium,Excellent,Moderate,Time & Materials,Low,Moderate,Occasional,Basic,Basic,Fully Colocated,Excellent,5,10,0.98,Low
PROJ_2185,IT,24,2797610.23,7,2.25,14,Kanban,Junior,3,4,1.59,Execution,Moderate,0.54,0.99,1,3.70,High,Expert,1,Low,0.31,0.75,Moderate,Mixed,0.91,8.55,0.98,Medium,1.31,6,0.56,0.57,Senior PM,Managed,Low,Excellent,Stable,Cost-Plus,High,Extreme,First-time,Formal,Formal,Fully Remote,Excellent,4,11,1.04,High
PROJ_2186,Construction,47,1078039.47,21,7.43,3,Agile,Mid-level,2,1,0.72,Execution,Stable,0.50,0.76,0,6.82,High,New,4,Medium,0.69,0.61,Strong,Mixed,0.19,4.19,0.83,Medium,1.31,0,0.96,0.87,Mid-level PM,Managed,Strict,Moderate,Stable,Time & Materials,Low,High,Occasional,Basic,Advanced,Fully Colocated,Good,4,1,1.09,High
PROJ_2187,R&D,24,2946916.16,24,7.49,5,Kanban,Mixed,2,4,1.30,Execution,Moderate,0.26,0.86,4,4.37,High,New,2,Medium,0.99,0.64,Moderate,External,0.41,3.94,0.63,Medium,0.02,2,0.54,0.82,Senior PM,Defined,Strict,Excellent,Poor,Fixed-Price,Medium,High,First-time,Advanced,None,Hybrid,Basic,10,1,1.10,Medium
PROJ_2188,R&D,32,500752.94,12,1.21,19,Agile,Senior,2,3,1.93,Execution,Stable,0.25,0.60,1,3.90,High,New,1,Excellent,0.36,1.06,Moderate,External,0.53,9.50,0.33,High,2.64,2,0.54,0.44,Junior PM,Defined,Low,Good,Stable,Fixed-Price,Medium,Moderate,Strategic,Formal,Advanced,Fully Remote,Excellent,10,7,0.87,Medium
PROJ_2189,Construction,47,2155740.49,18,6.13,14,Waterfall,Junior,0,3,1.42,Execution,Moderate,0.43,0.63,2,1.97,High,Expert,1,Low,0.95,0.44,Moderate,External,0.29,2.17,0.42,Medium,1.83,3,0.91,0.42,Senior PM,Managed,Medium,Excellent,Stable,Time & Materials,Low,High,First-time,Advanced,Advanced,Hybrid,Good,3,2,1.15,Medium
PROJ_2190,R&D,19,2748484.47,34,2.29,19,Scrum,Senior,2,4,1.62,Initiation,Moderate,0.15,0.39,3,2.59,Medium,New,2,High,0.66,0.45,Strong,Internal,0.08,8.13,0.72,High,2.13,0,0.80,0.31,Mid-level PM,Ad-hoc,Strict,Excellent,Poor,Cost-Plus,High,Extreme,First-time,Formal,Advanced,Hybrid,Excellent,3,9,0.93,Medium
PROJ_2191,Construction,14,2751252.41,23,7.43,16,Agile,Senior,4,2,2.60,Closure,Stable,0.21,0.94,4,4.03,Low,Familiar,3,High,0.84,0.60,Moderate,Mixed,0.43,4.66,0.98,Medium,2.57,3,0.45,0.82,Senior PM,Ad-hoc,High,Moderate,Stable,Fixed-Price,Medium,Moderate,Regular,Basic,Advanced,Hybrid,Good,9,5,0.83,High
PROJ_2192,IT,16,532581.85,13,6.52,14,Scrum,Mixed,2,0,1.15,Planning,Unstable,0.26,0.66,3,4.00,Critical,Expert,1,High,0.22,0.38,Moderate,Internal,0.30,2.32,0.60,High,0.41,2,0.82,0.77,Senior PM,Managed,Strict,Poor,Moderate,Cost-Plus,Low,Extreme,Regular,Basic,Advanced,Hybrid,Excellent,3,5,1.16,Low
PROJ_2193,Manufacturing,28,2407641.15,33,7.93,7,Agile,Senior,3,4,1.69,Closure,Stable,0.43,0.69,3,2.18,Medium,New,2,Excellent,0.50,0.77,Strong,Internal,0.39,1.44,0.68,Low,0.33,3,0.79,0.05,Mid-level PM,Managed,Strict,Poor,Stable,Fixed-Price,Medium,Low,Regular,Advanced,Advanced,Fully Colocated,Poor,11,5,0.96,High
PROJ_2194,Construction,5,231658.12,11,7.26,10,Agile,Senior,3,2,0.18,Planning,Stable,0.12,0.66,0,5.14,Critical,New,2,High,0.66,0.31,Strong,Internal,0.12,5.82,0.55,High,2.67,0,0.69,0.23,Mid-level PM,Defined,Low,Moderate,Poor,Time & Materials,Medium,Moderate,First-time,Advanced,Formal,Hybrid,Basic,3,9,1.01,Low
PROJ_2195,Healthcare,30,2297776.62,7,4.66,3,Waterfall,Junior,2,0,1.46,Closure,Moderate,0.50,0.35,2,3.12,Low,New,1,Excellent,0.49,0.74,Strong,Internal,0.05,3.54,0.96,Low,2.39,1,0.92,0.04,Mid-level PM,Ad-hoc,Medium,Poor,Stable,Cost-Plus,Medium,Moderate,Regular,Advanced,None,Fully Colocated,Excellent,2,8,1.11,High
PROJ_2196,Construction,26,381863.81,29,3.27,11,Scrum,Senior,3,3,1.22,Initiation,Unstable,0.45,0.53,4,6.73,High,New,2,Medium,0.47,1.00,Strong,Mixed,0.60,5.16,0.44,Medium,0.80,2,0.53,0.35,Senior PM,Optimizing,Strict,Good,Moderate,Time & Materials,High,Low,Strategic,Basic,Basic,Hybrid,Excellent,8,11,1.13,High
PROJ_2197,R&D,26,2716014.04,21,5.04,12,Scrum,Senior,0,4,0.78,Planning,Moderate,0.49,0.98,0,4.63,Medium,Expert,1,Medium,0.12,0.45,Moderate,Government,0.18,8.01,0.85,Critical,0.99,2,0.63,0.25,Mid-level PM,Optimizing,Medium,Excellent,Stable,Time & Materials,Medium,Low,Occasional,Advanced,Formal,Hybrid,Good,4,3,1.04,Medium
PROJ_2198,R&D,12,1194822.61,27,8.33,10,Waterfall,Junior,3,4,2.67,Execution,Moderate,0.53,0.62,1,6.02,Critical,New,1,Low,0.85,0.39,Strong,Government,0.97,9.04,0.67,Low,0.87,8,0.52,0.31,Senior PM,Optimizing,High,Excellent,Moderate,Cost-Plus,Low,Low,Occasional,Advanced,Formal,Hybrid,Good,5,10,0.97,High
PROJ_2199,IT,18,1280858.19,12,5.20,17,Kanban,Junior,3,3,2.98,Planning,Moderate,0.25,0.39,0,6.99,Critical,Familiar,2,Medium,0.43,0.91,Weak,Government,0.67,9.98,0.35,Medium,0.62,9,0.43,0.70,Mid-level PM,Managed,Strict,Poor,Moderate,Fixed-Price,Medium,Moderate,Strategic,Formal,Formal,Hybrid,Poor,3,7,0.88,Critical
PROJ_2200,Manufacturing,36,347575.28,7,7.76,14,Kanban,Mid-level,4,2,1.99,Initiation,Unstable,0.58,0.55,1,5.21,High,Expert,3,Medium,0.81,0.70,Strong,Government,0.11,5.71,0.52,Medium,1.09,4,0.93,0.25,Senior PM,Optimizing,Low,Poor,Moderate,Cost-Plus,High,Moderate,Occasional,Basic,Basic,Fully Colocated,Poor,4,9,1.20,High
PROJ_2201,IT,3,2207958.64,7,6.17,11,Scrum,Mid-level,2,4,2.41,Closure,Stable,0.34,0.96,0,5.26,Critical,Expert,1,Low,0.14,1.07,Moderate,Mixed,0.15,1.40,0.58,High,1.85,8,0.76,0.44,Senior PM,Managed,Medium,Excellent,Moderate,Cost-Plus,Medium,Low,Occasional,Basic,None,Fully Remote,Basic,8,10,1.01,Low
PROJ_2202,Construction,5,2930910.71,19,9.62,19,Scrum,Junior,3,4,1.39,Closure,Moderate,0.43,0.92,1,2.89,Critical,Expert,3,Excellent,0.52,0.95,Strong,External,0.60,6.53,0.64,Critical,1.60,5,0.48,0.67,Mid-level PM,Optimizing,Medium,Poor,Poor,Time & Materials,Low,Low,First-time,Basic,Advanced,Hybrid,Poor,7,4,0.86,Critical
PROJ_2203,Healthcare,31,1364643.17,3,2.67,4,Waterfall,Mid-level,2,4,0.37,Planning,Unstable,0.04,0.80,2,5.61,High,Expert,1,High,0.32,0.54,Strong,External,0.88,7.12,0.70,Low,2.39,0,0.91,0.78,Senior PM,Ad-hoc,Medium,Good,Moderate,Fixed-Price,Medium,High,Occasional,Formal,Advanced,Fully Remote,Basic,1,2,1.08,Low
PROJ_2204,Construction,27,821219.52,25,1.98,15,Scrum,Mid-level,1,4,2.24,Planning,Moderate,0.48,0.73,4,3.19,High,New,2,Excellent,0.81,0.32,Strong,Mixed,0.05,6.18,0.43,Low,2.30,9,0.92,0.46,Mid-level PM,Ad-hoc,Strict,Moderate,Moderate,Fixed-Price,Medium,Low,Occasional,Basic,Advanced,Fully Remote,Excellent,10,10,1.09,High
PROJ_2205,Manufacturing,24,2550787.40,31,2.17,4,Kanban,Mid-level,1,2,1.91,Initiation,Stable,0.57,0.31,4,5.81,Low,Familiar,4,Medium,0.65,0.88,Moderate,External,0.54,2.87,0.39,Medium,1.96,2,0.42,0.56,Mid-level PM,Managed,Low,Good,Poor,Fixed-Price,Medium,High,Occasional,Basic,Formal,Fully Remote,Good,10,3,1.13,Critical
PROJ_2206,Healthcare,41,2561828.71,18,4.27,9,Kanban,Mid-level,1,4,0.91,Closure,Unstable,0.09,0.31,1,5.06,High,Expert,3,Medium,0.91,0.64,Moderate,Mixed,0.20,6.00,0.91,Critical,1.22,0,0.46,0.11,Senior PM,Defined,Medium,Poor,Moderate,Time & Materials,Low,Extreme,Occasional,Basic,Formal,Fully Remote,Good,2,7,0.98,Medium
PROJ_2207,Construction,29,2359627.70,21,3.47,8,Hybrid,Junior,4,1,2.23,Planning,Moderate,0.08,0.75,1,6.55,Low,New,1,Medium,0.35,0.41,Weak,Government,0.93,2.60,0.91,Low,0.30,8,1.00,0.43,Senior PM,Defined,Low,Moderate,Stable,Time & Materials,High,High,Strategic,Basic,None,Fully Colocated,Excellent,6,6,1.01,Low
PROJ_2208,R&D,34,2583457.22,8,3.20,10,Waterfall,Senior,0,3,0.48,Initiation,Unstable,0.55,0.63,0,5.51,Medium,Expert,4,High,0.77,0.76,Moderate,External,0.01,5.83,0.61,Critical,1.98,4,0.96,0.95,Mid-level PM,Defined,Medium,Good,Moderate,Time & Materials,Low,Moderate,Occasional,Basic,Formal,Hybrid,Excellent,7,9,0.98,High
PROJ_2209,Healthcare,6,1022291.10,31,6.72,17,Kanban,Mid-level,1,3,1.23,Closure,Unstable,0.46,0.97,1,3.87,Medium,Expert,1,Low,0.29,0.39,Weak,Mixed,0.91,1.49,0.52,Medium,1.66,4,0.84,0.21,Mid-level PM,Defined,Strict,Excellent,Poor,Fixed-Price,Low,Low,Occasional,Basic,Formal,Fully Remote,Excellent,4,10,1.02,Medium
PROJ_2210,Healthcare,6,2621686.10,22,7.06,9,Hybrid,Junior,0,1,1.91,Planning,Stable,0.49,0.37,0,5.93,High,New,1,Low,0.01,0.70,Moderate,Government,0.23,1.26,0.98,Medium,1.02,2,0.92,0.76,Mid-level PM,Managed,High,Poor,Poor,Cost-Plus,Medium,Low,First-time,Basic,Basic,Hybrid,Basic,6,7,1.02,Critical
PROJ_2211,R&D,14,209213.90,5,8.91,2,Scrum,Junior,1,0,1.21,Closure,Stable,0.09,0.72,4,3.36,High,Expert,3,High,0.88,0.61,Strong,External,0.39,9.08,0.44,High,0.55,5,0.87,0.24,Mid-level PM,Ad-hoc,High,Good,Stable,Time & Materials,Medium,Moderate,Occasional,Basic,None,Fully Colocated,Excellent,7,11,1.04,Low
PROJ_2212,Manufacturing,36,2414835.64,30,4.19,5,Kanban,Senior,2,3,1.90,Closure,Unstable,0.08,0.82,2,3.43,Critical,Familiar,2,Medium,0.53,0.66,Moderate,Government,0.52,1.83,0.78,Medium,1.30,5,0.75,0.01,Senior PM,Defined,High,Excellent,Poor,Fixed-Price,High,High,Occasional,Formal,None,Fully Remote,Excellent,6,10,0.84,Low
PROJ_2213,Healthcare,28,643835.66,4,6.65,12,Scrum,Senior,1,2,0.03,Planning,Moderate,0.36,0.56,1,5.83,Critical,Familiar,2,Low,0.04,0.81,Strong,Mixed,0.01,7.43,0.74,Medium,1.78,7,0.67,0.79,Mid-level PM,Defined,Low,Good,Moderate,Time & Materials,Medium,Low,Occasional,Formal,Basic,Hybrid,Basic,10,10,1.12,Low
PROJ_2214,Healthcare,13,2917415.89,14,2.79,19,Waterfall,Senior,2,4,0.92,Closure,Moderate,0.40,0.82,0,1.53,Medium,Expert,1,Excellent,0.02,0.50,Moderate,Government,0.38,1.10,0.88,High,2.28,1,0.61,0.39,Mid-level PM,Managed,Strict,Excellent,Moderate,Cost-Plus,Low,High,Regular,Basic,None,Fully Colocated,Excellent,1,2,0.89,Low
PROJ_2215,Healthcare,33,713824.06,17,6.12,19,Waterfall,Mixed,2,0,0.70,Initiation,Unstable,0.34,0.96,0,1.74,Low,New,2,Medium,0.25,0.41,Weak,Internal,0.86,1.64,0.63,Critical,2.61,4,0.80,0.45,Senior PM,Ad-hoc,Low,Excellent,Poor,Cost-Plus,Medium,High,Strategic,Advanced,Formal,Fully Remote,Good,9,9,1.17,Low
PROJ_2216,Healthcare,44,765104.77,23,7.51,17,Hybrid,Mid-level,3,4,2.12,Execution,Stable,0.54,0.86,4,6.73,Critical,Familiar,3,Low,0.01,0.84,Weak,Government,0.86,7.92,0.94,Low,0.85,6,0.62,0.12,Junior PM,Ad-hoc,High,Poor,Stable,Fixed-Price,Low,Low,Regular,Formal,Formal,Fully Colocated,Poor,9,8,0.94,High
PROJ_2217,R&D,17,1436587.33,9,4.22,18,Agile,Senior,3,3,0.75,Closure,Unstable,0.57,0.59,0,1.56,Critical,New,1,Medium,0.35,0.45,Strong,Government,0.10,7.18,0.75,Medium,0.45,2,0.71,0.01,Junior PM,Ad-hoc,Medium,Good,Stable,Fixed-Price,Medium,Extreme,First-time,Basic,Formal,Fully Remote,Good,9,8,0.84,Medium
PROJ_2218,R&D,23,1490942.88,22,1.91,14,Scrum,Junior,4,0,0.57,Closure,Moderate,0.32,0.45,3,4.61,High,Expert,2,Low,0.68,0.64,Moderate,Government,0.34,6.87,0.76,Critical,1.74,7,0.44,0.08,Senior PM,Defined,Low,Poor,Stable,Time & Materials,High,High,Strategic,Formal,Advanced,Hybrid,Poor,3,11,1.07,Medium
PROJ_2219,R&D,47,1419813.11,22,7.45,7,Waterfall,Mid-level,0,3,2.96,Initiation,Stable,0.13,0.89,3,1.46,Medium,Familiar,4,Low,0.67,0.34,Strong,Internal,0.45,2.35,0.43,Critical,2.16,9,0.63,0.26,Mid-level PM,Managed,Low,Good,Moderate,Fixed-Price,Low,Moderate,First-time,Advanced,Basic,Hybrid,Poor,2,6,0.93,Medium
PROJ_2220,Healthcare,34,1125790.48,32,6.17,18,Scrum,Senior,1,1,0.23,Planning,Moderate,0.33,0.97,0,4.72,Critical,Familiar,1,Low,0.96,0.66,Weak,Mixed,0.87,5.15,0.85,Critical,0.30,9,0.81,0.34,Senior PM,Managed,Low,Excellent,Stable,Fixed-Price,Low,Moderate,Strategic,Basic,Basic,Fully Remote,Basic,4,2,1.05,Low
PROJ_2221,Construction,4,1539263.80,20,1.82,14,Agile,Mid-level,4,2,1.13,Initiation,Stable,0.26,0.33,4,4.97,Critical,Familiar,3,High,0.94,0.59,Strong,Government,0.41,3.11,0.46,Low,1.00,2,0.67,0.60,Senior PM,Ad-hoc,High,Moderate,Stable,Time & Materials,Low,Moderate,Strategic,Basic,Formal,Hybrid,Excellent,3,6,1.06,High
PROJ_2222,R&D,23,923477.01,26,1.53,4,Kanban,Junior,4,4,0.27,Closure,Stable,0.07,0.99,3,5.27,Medium,Familiar,4,Excellent,0.17,0.95,Moderate,Government,0.47,2.91,0.38,Low,2.99,6,0.76,0.55,Junior PM,Optimizing,Medium,Excellent,Poor,Cost-Plus,High,Low,Regular,Formal,Formal,Hybrid,Excellent,5,3,0.99,Low
PROJ_2223,IT,33,1031570.59,28,8.71,11,Agile,Senior,2,3,0.57,Planning,Stable,0.31,0.59,3,1.73,Critical,Familiar,3,High,0.13,1.00,Moderate,External,0.74,8.02,0.59,High,2.85,4,0.86,0.27,Senior PM,Ad-hoc,Low,Poor,Poor,Time & Materials,Medium,Low,First-time,Advanced,Basic,Hybrid,Excellent,9,4,0.87,Low
PROJ_2224,R&D,30,1560441.84,32,7.55,2,Scrum,Junior,1,4,2.43,Execution,Unstable,0.48,0.59,0,2.13,Medium,New,1,Excellent,0.67,1.18,Weak,Government,0.41,6.58,0.90,Critical,1.66,9,0.70,0.61,Senior PM,Managed,Medium,Excellent,Stable,Time & Materials,High,Extreme,Regular,Advanced,Advanced,Fully Remote,Excellent,3,7,1.09,Critical
PROJ_2225,IT,38,2332944.64,14,9.67,6,Kanban,Mixed,2,1,1.62,Planning,Unstable,0.02,0.45,0,2.44,Medium,Expert,1,Low,0.61,1.11,Strong,Mixed,0.71,6.25,0.67,High,2.80,6,0.84,0.90,Senior PM,Defined,High,Poor,Poor,Cost-Plus,High,Low,Occasional,Advanced,Basic,Fully Remote,Poor,8,7,0.83,High
PROJ_2226,Healthcare,19,1215907.19,6,9.45,5,Hybrid,Mid-level,3,0,2.40,Execution,Moderate,0.02,0.47,2,5.85,Critical,Expert,2,High,0.52,0.35,Strong,Mixed,0.03,3.43,0.52,Low,2.61,2,0.97,0.54,Mid-level PM,Managed,Medium,Poor,Stable,Cost-Plus,High,High,Strategic,Advanced,Basic,Fully Remote,Basic,10,3,0.87,Critical
PROJ_2227,Healthcare,47,1448037.52,29,8.02,8,Hybrid,Mid-level,4,2,2.58,Initiation,Moderate,0.44,0.30,1,1.37,Critical,Expert,2,Low,0.26,0.87,Strong,Internal,0.23,9.71,0.75,Low,1.89,1,0.56,0.19,Junior PM,Ad-hoc,Low,Poor,Stable,Time & Materials,Low,Moderate,Occasional,Formal,Basic,Fully Colocated,Basic,7,3,0.92,Critical
PROJ_2228,IT,42,1014680.96,27,4.78,6,Kanban,Junior,0,2,2.70,Initiation,Unstable,0.42,0.99,3,6.20,High,Familiar,2,Medium,0.97,1.19,Moderate,Internal,0.10,8.75,0.97,Critical,2.31,5,0.93,0.74,Junior PM,Defined,Medium,Moderate,Poor,Fixed-Price,Medium,Moderate,Regular,Advanced,None,Hybrid,Basic,11,5,0.90,High
PROJ_2229,Manufacturing,31,2165008.70,25,2.22,9,Kanban,Senior,2,3,1.98,Initiation,Moderate,0.14,0.52,0,1.04,High,Familiar,4,Medium,0.44,0.42,Moderate,Internal,0.45,7.29,0.59,Critical,2.60,8,0.77,0.45,Mid-level PM,Managed,Medium,Good,Stable,Time & Materials,High,Extreme,First-time,Basic,None,Fully Colocated,Poor,2,8,0.91,Low
PROJ_2230,R&D,10,510587.11,31,4.88,11,Kanban,Senior,4,2,2.09,Closure,Moderate,0.29,0.39,2,1.54,Medium,New,4,High,0.01,0.90,Strong,Mixed,0.25,2.37,0.33,Low,1.88,3,0.81,0.07,Junior PM,Defined,Medium,Moderate,Stable,Fixed-Price,Low,High,Occasional,Basic,None,Fully Remote,Good,1,10,0.90,High
PROJ_2231,R&D,46,2576927.95,7,6.87,2,Scrum,Junior,0,1,2.94,Initiation,Unstable,0.00,0.74,0,2.85,Critical,Familiar,4,Excellent,0.57,0.71,Strong,External,0.46,5.73,0.32,Low,0.40,5,0.65,0.46,Junior PM,Optimizing,Low,Poor,Poor,Fixed-Price,High,Extreme,Strategic,Formal,Formal,Hybrid,Basic,3,10,0.97,Low
PROJ_2232,Construction,22,2603206.90,18,1.82,14,Waterfall,Senior,1,4,1.48,Initiation,Moderate,0.26,0.45,0,6.40,Critical,Expert,3,Medium,0.40,0.85,Moderate,Government,0.79,4.48,0.60,High,2.35,8,0.59,0.84,Senior PM,Managed,Medium,Good,Moderate,Time & Materials,Medium,Moderate,Strategic,Formal,Advanced,Fully Remote,Poor,11,1,1.14,Critical
PROJ_2233,Construction,28,1617651.46,12,4.67,14,Scrum,Mixed,2,4,1.22,Planning,Moderate,0.15,0.93,2,3.22,Low,Familiar,1,Low,0.71,0.63,Weak,Mixed,0.83,1.74,0.31,Medium,0.19,8,0.85,0.38,Senior PM,Optimizing,High,Poor,Moderate,Time & Materials,Low,Extreme,Strategic,Basic,Advanced,Hybrid,Poor,11,10,0.80,Low
PROJ_2234,IT,39,2414591.32,30,3.66,8,Hybrid,Senior,3,0,1.83,Closure,Unstable,0.32,0.72,1,5.20,Low,Expert,1,Medium,0.83,1.03,Strong,Internal,0.50,5.88,0.63,Medium,2.25,6,0.79,0.54,Mid-level PM,Optimizing,Low,Poor,Poor,Fixed-Price,High,Low,Regular,Basic,None,Fully Colocated,Basic,2,1,1.02,Low
PROJ_2235,IT,17,781720.00,31,8.57,12,Waterfall,Mid-level,3,1,0.67,Execution,Moderate,0.41,0.60,0,2.49,Medium,New,2,Excellent,0.48,0.73,Weak,External,0.65,2.19,0.43,Critical,1.07,1,0.83,0.02,Senior PM,Optimizing,Medium,Good,Moderate,Time & Materials,Low,Extreme,First-time,Formal,Advanced,Fully Colocated,Good,7,10,1.12,High
PROJ_2236,IT,6,448121.76,34,8.98,7,Waterfall,Junior,0,2,2.85,Initiation,Unstable,0.02,0.51,1,6.38,Critical,New,4,Excellent,0.04,0.93,Moderate,Mixed,1.00,9.06,0.44,Critical,1.41,9,0.83,0.06,Senior PM,Optimizing,Strict,Excellent,Poor,Time & Materials,Low,Low,Strategic,Advanced,Basic,Fully Remote,Excellent,1,5,0.91,Medium
PROJ_2237,R&D,37,763375.43,30,8.79,15,Scrum,Senior,2,2,1.65,Closure,Unstable,0.14,0.49,2,2.44,Low,Familiar,1,Excellent,0.42,1.20,Weak,Internal,0.57,9.83,0.80,High,2.76,8,0.67,0.08,Senior PM,Defined,Strict,Excellent,Moderate,Fixed-Price,Medium,Extreme,Occasional,Basic,Advanced,Fully Remote,Poor,4,7,1.19,High
PROJ_2238,R&D,5,2481400.26,31,3.87,14,Waterfall,Mid-level,1,1,0.71,Initiation,Unstable,0.29,0.76,2,4.73,Medium,Expert,1,Excellent,0.70,0.40,Weak,Mixed,0.20,2.96,0.33,Critical,1.90,8,0.58,1.00,Mid-level PM,Optimizing,Strict,Poor,Stable,Cost-Plus,Low,High,Regular,Advanced,Basic,Hybrid,Poor,10,1,1.10,Low
PROJ_2239,Healthcare,49,973683.33,18,4.66,14,Waterfall,Senior,2,1,1.77,Initiation,Stable,0.43,0.78,2,4.00,Low,New,4,Low,0.41,0.63,Moderate,Internal,0.09,6.17,0.86,Medium,1.51,3,0.63,0.99,Junior PM,Optimizing,Medium,Poor,Poor,Time & Materials,Medium,High,Occasional,Formal,Advanced,Fully Remote,Excellent,7,1,1.06,High
PROJ_2240,IT,18,2273117.61,23,1.94,10,Agile,Mid-level,4,0,1.32,Planning,Stable,0.23,0.58,4,2.27,Low,Familiar,4,Medium,0.89,0.85,Strong,Mixed,0.89,8.58,0.67,Low,1.48,4,0.76,0.95,Senior PM,Defined,Medium,Good,Stable,Fixed-Price,Low,Extreme,Regular,Formal,Advanced,Fully Remote,Excellent,3,7,1.04,Low
PROJ_2241,R&D,36,522150.83,24,3.90,15,Agile,Mixed,1,1,2.90,Closure,Unstable,0.43,0.59,1,1.29,Critical,Expert,4,Excellent,0.66,0.51,Strong,Internal,0.39,2.68,0.44,Medium,2.26,4,0.55,0.23,Mid-level PM,Managed,Strict,Moderate,Moderate,Time & Materials,Low,Low,First-time,Basic,Advanced,Hybrid,Poor,1,10,0.81,High
PROJ_2242,IT,22,1881675.69,24,7.70,18,Waterfall,Senior,1,4,0.88,Closure,Stable,0.41,0.74,2,1.47,Critical,Familiar,4,Low,0.27,0.40,Moderate,External,0.97,2.90,0.74,Low,1.47,2,1.00,0.29,Junior PM,Ad-hoc,Strict,Poor,Stable,Time & Materials,Medium,Low,Strategic,Advanced,Advanced,Fully Colocated,Excellent,4,7,1.15,High
PROJ_2243,Construction,25,2355968.34,30,4.64,15,Kanban,Junior,2,3,1.57,Closure,Moderate,0.57,1.00,2,1.45,High,Familiar,3,Medium,0.61,0.51,Strong,External,0.49,4.52,0.72,Critical,0.24,0,0.87,0.45,Mid-level PM,Optimizing,Low,Poor,Moderate,Cost-Plus,High,Extreme,Strategic,Advanced,None,Fully Remote,Excellent,4,4,1.04,Medium
PROJ_2244,IT,33,2186967.89,15,5.12,13,Waterfall,Mixed,3,0,1.35,Planning,Stable,0.12,0.54,1,1.86,Medium,Expert,3,Medium,0.55,0.75,Strong,External,0.04,9.85,0.68,Critical,1.44,7,0.79,0.97,Senior PM,Optimizing,Low,Poor,Moderate,Cost-Plus,High,Extreme,Occasional,Basic,Basic,Hybrid,Excellent,4,6,0.90,Low
PROJ_2245,IT,35,2893580.46,34,6.77,2,Kanban,Senior,0,2,0.83,Execution,Unstable,0.42,0.91,1,1.66,High,Familiar,3,Low,0.41,1.12,Weak,Government,0.23,6.53,0.72,Critical,0.47,0,0.91,0.70,Mid-level PM,Optimizing,Low,Moderate,Stable,Fixed-Price,Low,High,Strategic,Basic,None,Hybrid,Poor,4,10,1.20,High
PROJ_2246,IT,44,2821609.38,14,4.54,19,Waterfall,Senior,3,3,0.17,Closure,Stable,0.22,0.46,2,3.38,Medium,Expert,4,Low,0.27,1.01,Weak,Mixed,0.41,2.20,0.36,Medium,1.29,1,0.62,0.86,Junior PM,Managed,High,Moderate,Moderate,Fixed-Price,High,Low,Strategic,Advanced,Advanced,Fully Colocated,Poor,9,1,1.05,High
PROJ_2247,IT,45,723144.66,32,6.84,15,Hybrid,Mid-level,0,2,2.30,Execution,Moderate,0.27,0.47,0,1.45,Medium,Familiar,2,Excellent,0.64,0.39,Weak,Mixed,0.13,5.10,0.52,Critical,0.84,3,0.47,0.89,Senior PM,Optimizing,Low,Moderate,Stable,Time & Materials,High,Low,Occasional,Advanced,Advanced,Hybrid,Excellent,2,1,0.90,High
PROJ_2248,Healthcare,13,1739364.37,19,6.99,11,Agile,Junior,4,0,2.30,Closure,Unstable,0.39,0.36,3,4.47,Critical,Familiar,1,High,0.83,0.98,Weak,Government,0.72,6.72,0.52,High,2.65,7,0.41,0.85,Senior PM,Ad-hoc,Strict,Poor,Stable,Time & Materials,High,High,Strategic,Formal,Formal,Hybrid,Poor,1,10,0.94,Critical
PROJ_2249,Healthcare,27,2857786.17,28,6.54,7,Hybrid,Mixed,0,1,2.27,Planning,Unstable,0.28,0.72,2,6.62,Low,Expert,3,Low,0.69,1.17,Moderate,Government,0.92,6.50,0.75,Low,1.07,8,0.51,0.43,Mid-level PM,Managed,Medium,Moderate,Stable,Time & Materials,Low,Moderate,Strategic,Formal,Basic,Fully Remote,Good,1,8,1.12,High
PROJ_2250,Construction,7,2086123.33,16,8.36,18,Scrum,Mid-level,2,3,2.87,Initiation,Stable,0.26,0.49,4,4.39,Critical,Familiar,3,Excellent,0.16,1.09,Weak,Government,0.50,6.83,0.73,Medium,2.02,5,0.49,0.58,Mid-level PM,Ad-hoc,High,Poor,Stable,Cost-Plus,Medium,Moderate,First-time,Formal,Formal,Fully Colocated,Poor,6,5,0.85,Critical
